title,title_detail,links,link,summary,summary_detail,published,published_parsed,id,guidislink
"PA Senate Session Notes for January 03, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for January 03, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230103.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230103.pdf,"Compiled summary of Senate session activity for January 03, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for January 03, 2023'}","Tue, 03 Jan 2023 20:59:00 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=3, tm_hour=20, tm_min=59, tm_sec=0, tm_wday=1, tm_yday=3, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230103.pdf20230103035900,False
"PA Senate Session Notes for January 06, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for January 06, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230106.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230106.pdf,"Compiled summary of Senate session activity for January 06, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for January 06, 2023'}","Fri, 06 Jan 2023 20:55:00 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=6, tm_hour=20, tm_min=55, tm_sec=0, tm_wday=4, tm_yday=6, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230106.pdf20230106035500,False
"PA Senate Session Notes for January 09, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for January 09, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230109.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230109.pdf,"Compiled summary of Senate session activity for January 09, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for January 09, 2023'}","Mon, 09 Jan 2023 21:48:00 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=9, tm_hour=21, tm_min=48, tm_sec=0, tm_wday=0, tm_yday=9, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230109.pdf20230109044800,False
"PA Senate Session Notes for January 09, 2023 (Special Session 1)","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for January 09, 2023 (Special Session 1)'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/1/20230109.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/1/20230109.pdf,"Compiled summary of Senate session activity for January 09, 2023 (Special Session 1)","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for January 09, 2023 (Special Session 1)'}","Mon, 09 Jan 2023 17:17:00 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=9, tm_hour=17, tm_min=17, tm_sec=0, tm_wday=0, tm_yday=9, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/1/20230109.pdf20230109121700,False
"PA Senate Session Notes for January 10, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for January 10, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230110.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230110.pdf,"Compiled summary of Senate session activity for January 10, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for January 10, 2023'}","Tue, 10 Jan 2023 22:17:00 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=10, tm_hour=22, tm_min=17, tm_sec=0, tm_wday=1, tm_yday=10, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230110.pdf20230110051700,False
"PA Senate Session Notes for January 11, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for January 11, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230111.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230111.pdf,"Compiled summary of Senate session activity for January 11, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for January 11, 2023'}","Wed, 11 Jan 2023 21:25:00 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=11, tm_hour=21, tm_min=25, tm_sec=0, tm_wday=2, tm_yday=11, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230111.pdf20230111042500,False
"PA Senate Session Notes for January 13, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for January 13, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230113.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230113.pdf,"Compiled summary of Senate session activity for January 13, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for January 13, 2023'}","Fri, 13 Jan 2023 15:16:00 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=13, tm_hour=15, tm_min=16, tm_sec=0, tm_wday=4, tm_yday=13, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230113.pdf20230113101600,False
"PA Senate Session Notes for January 17, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for January 17, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230117.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230117.pdf,"Compiled summary of Senate session activity for January 17, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for January 17, 2023'}","Tue, 17 Jan 2023 17:47:00 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=17, tm_hour=17, tm_min=47, tm_sec=0, tm_wday=1, tm_yday=17, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230117.pdf20230117124700,False
"PA Senate Session Notes for January 18, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for January 18, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230118.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230118.pdf,"Compiled summary of Senate session activity for January 18, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for January 18, 2023'}","Wed, 18 Jan 2023 16:54:00 GMT","time.struct_time(tm_year=2023, tm_mon=1, tm_mday=18, tm_hour=16, tm_min=54, tm_sec=0, tm_wday=2, tm_yday=18, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230118.pdf20230118115400,False
"PA Senate Session Notes for February 27, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for February 27, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230227.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230227.pdf,"Compiled summary of Senate session activity for February 27, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for February 27, 2023'}","Tue, 28 Feb 2023 17:21:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=28, tm_hour=17, tm_min=21, tm_sec=0, tm_wday=1, tm_yday=59, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230227.pdf20230228122100,False
"PA Senate Session Notes for February 28, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for February 28, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230228.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230228.pdf,"Compiled summary of Senate session activity for February 28, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for February 28, 2023'}","Tue, 28 Feb 2023 22:25:00 GMT","time.struct_time(tm_year=2023, tm_mon=2, tm_mday=28, tm_hour=22, tm_min=25, tm_sec=0, tm_wday=1, tm_yday=59, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230228.pdf20230228052500,False
"PA Senate Session Notes for March 01, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for March 01, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230301.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230301.pdf,"Compiled summary of Senate session activity for March 01, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for March 01, 2023'}","Wed, 01 Mar 2023 18:03:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=1, tm_hour=18, tm_min=3, tm_sec=0, tm_wday=2, tm_yday=60, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230301.pdf20230301010300,False
"PA Senate Session Notes for March 06, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for March 06, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230306.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230306.pdf,"Compiled summary of Senate session activity for March 06, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for March 06, 2023'}","Mon, 06 Mar 2023 22:12:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=6, tm_hour=22, tm_min=12, tm_sec=0, tm_wday=0, tm_yday=65, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230306.pdf20230306051200,False
"PA Senate Session Notes for March 07, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for March 07, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230307.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230307.pdf,"Compiled summary of Senate session activity for March 07, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for March 07, 2023'}","Tue, 07 Mar 2023 21:20:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=7, tm_hour=21, tm_min=20, tm_sec=0, tm_wday=1, tm_yday=66, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230307.pdf20230307042000,False
"PA Senate Session Notes for March 08, 2023","{'type': 'text/plain', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'PA Senate Session Notes for March 08, 2023'}","[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230308.pdf'}]",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230308.pdf,"Compiled summary of Senate session activity for March 08, 2023","{'type': 'text/html', 'language': None, 'base': 'https://www.legis.state.pa.us/WU01/LI/RSS/SenateNotes.xml', 'value': 'Compiled summary of Senate session activity for March 08, 2023'}","Wed, 08 Mar 2023 18:15:00 GMT","time.struct_time(tm_year=2023, tm_mon=3, tm_mday=8, tm_hour=18, tm_min=15, tm_sec=0, tm_wday=2, tm_yday=67, tm_isdst=0)",https://www.legis.state.pa.us/WU01/LI/SN/2023/0/20230308.pdf20230308011500,False
